               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.027661,           0.0099316,           0.0010208,             0.85375,             0.58933,             0.68978,             0.39474,            0.043008,             0.00903,           0.0016777,            0.007723,            0.007723,            0.007723
                  94,            0.026974,            0.010231,           0.0010605,             0.82704,             0.62877,             0.70879,             0.43743,            0.041218,           0.0088034,           0.0016595,           0.0076983,           0.0076983,           0.0076983
                  95,            0.026137,           0.0099139,           0.0013387,             0.81134,             0.66126,             0.71952,             0.44204,            0.040052,           0.0083684,           0.0011514,           0.0076735,           0.0076735,           0.0076735
                  96,            0.028138,           0.0092778,           0.0010122,             0.75197,             0.67808,             0.70243,             0.42902,            0.038864,           0.0085871,           0.0010995,           0.0076488,           0.0076488,           0.0076488
                  97,            0.028084,           0.0098956,           0.0013086,             0.72242,             0.69037,             0.69894,             0.43505,            0.039482,           0.0087556,          0.00096188,            0.007624,            0.007624,            0.007624
                  98,            0.026304,           0.0098829,           0.0010468,             0.76737,              0.6821,             0.69268,             0.43482,            0.040668,           0.0086695,          0.00087951,           0.0075993,           0.0075993,           0.0075993
                  99,            0.026501,           0.0097308,           0.0014066,              0.8006,             0.66228,             0.71509,             0.44653,            0.041521,           0.0088193,          0.00087901,           0.0075745,           0.0075745,           0.0075745
                 100,            0.026206,            0.010253,          0.00095418,             0.81201,             0.64624,             0.71446,             0.43923,            0.039628,           0.0088569,           0.0010117,           0.0075498,           0.0075498,           0.0075498
                 101,            0.027146,           0.0097682,          0.00080949,             0.78102,             0.66228,             0.71563,              0.4352,             0.03837,           0.0091787,          0.00070069,            0.007525,            0.007525,            0.007525
                 102,            0.025558,            0.010443,           0.0012087,             0.71727,             0.68492,             0.70824,             0.42824,            0.038249,            0.009006,          0.00076335,           0.0075003,           0.0075003,           0.0075003
                 103,            0.026421,           0.0095601,          0.00099156,             0.77537,             0.64168,             0.72391,             0.46566,            0.037518,           0.0091406,          0.00072699,           0.0074755,           0.0074755,           0.0074755
                 104,            0.025904,           0.0096375,           0.0012996,             0.82289,             0.63976,             0.73195,             0.44295,            0.038622,           0.0086037,          0.00080461,           0.0074507,           0.0074507,           0.0074507
                 105,            0.027226,           0.0096068,          0.00080615,             0.84068,             0.66166,             0.72237,             0.43883,            0.041083,           0.0087407,          0.00093396,            0.007426,            0.007426,            0.007426
                 106,            0.026569,           0.0087244,           0.0010044,             0.82589,             0.66122,             0.72676,             0.44594,            0.040256,           0.0086201,          0.00091919,           0.0074013,           0.0074013,           0.0074013
                 107,            0.025505,            0.009286,           0.0011604,             0.74084,             0.65992,             0.69787,             0.42035,             0.04075,           0.0087874,           0.0009504,           0.0073765,           0.0073765,           0.0073765
                 108,            0.026021,           0.0099777,           0.0010205,             0.84134,             0.63177,             0.70588,             0.44558,            0.041059,           0.0089002,          0.00095463,           0.0073517,           0.0073517,           0.0073517
                 109,            0.026759,           0.0093207,          0.00077803,             0.83724,             0.64433,             0.70991,             0.44454,            0.041663,           0.0089431,          0.00077232,            0.007327,            0.007327,            0.007327
                 110,            0.026499,           0.0087918,           0.0011211,             0.70735,             0.71382,             0.72233,             0.45109,            0.040417,           0.0088317,           0.0011761,           0.0073023,           0.0073023,           0.0073023
                 111,            0.025335,           0.0092502,           0.0010382,             0.78834,             0.61907,             0.68603,             0.42883,            0.040696,           0.0094905,           0.0021346,           0.0072775,           0.0072775,           0.0072775
