timestamp,lift_A,volume_A,lift_B,volume_B,lift_C,volume_C,lift_D,volume_D
7/16/19 7:59,0.710872408,303,0.751590428,2305,0.658027618,8402,0.801182777,35189
7/16/19 11:59,0.711463749,700,0.753591791,8427,0.658251861,100,0.801905582,615
7/16/19 15:59,0.720687235,1304,0.760152642,3647,0.660435032,901,0.806907662,14733
7/16/19 19:59,0.726232708,1116,0.764811931,1067,0.665422054,3048,0.809619162,336
7/16/19 23:59,0.728405791,100,0.764596542,696,0.667151453,3915,0.809704399,100
7/17/19 3:59,0.726778318,833,0.762236069,15835,0.66569486,12799,0.80911494,260
7/17/19 7:59,0.730553751,200,0.765445869,8200,0.669011147,1113,0.811809622,364
7/17/19 11:59,0.74143496,7968,0.774342181,2510,0.672880323,104,0.816208076,7000
7/17/19 15:59,0.734776027,110488,0.76996165,6988,0.671122285,0,0.814303406,266
7/17/19 19:59,0.737108898,100,0.772200121,11200,0.669003006,214522,0.814142019,29472
7/17/19 23:59,0.735296998,1100,0.771434119,1385,0.669739913,22328,0.817475634,36406
7/18/19 3:59,0.733729456,300,0.770967675,3498,0.670456143,2885,0.817264682,1020
7/18/19 7:59,0.739412155,300,0.7758897,1305,0.671797492,27258,0.820875183,255
7/18/19 11:59,0.73161837,2600,0.769902396,810,0.667900599,346,0.815948885,188
7/18/19 15:59,0.733203994,300,0.771286376,7334,0.67026484,1534,0.817039373,24812
7/18/19 19:59,0.732148381,300,0.770245383,12685,0.666165605,1776,0.815763898,820
7/18/19 23:59,0.734776027,13403,0.773117025,5042,0.671122285,2811,0.818537431,13440
7/19/19 3:59,0.727864931,506,0.766380815,14017,0.667666738,329,0.814530218,500
7/19/19 7:59,0.735296998,200,0.772946217,1023,0.669668485,543,0.817647469,12201
7/19/19 11:59,0.73161837,200,0.769361591,4017,0.667472028,319,0.815326357,1300
7/19/19 15:59,0.733203994,3519,0.769596779,1498,0.666979126,109,0.815425637,5785
